company_name,position_name,link_to_offer,location,contract_type,work_schedule,experience_level,type_of_work,required_technologies,optional_technologies,responsibilities_section,requirements_section,optional_section
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-bialystok,oferta,1002752327?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Białystok
Białystok, Podlaskie","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-bydgoszcz,oferta,1002752329?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Bydgoszcz
Bydgoszcz, Kuyavia-Pomerania","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-bytom,oferta,1002752344?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Bytom
Bytom, Silesian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-czestochowa,oferta,1002752339?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Częstochowa
Częstochowa, Silesian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-dabrowa-gornicza,oferta,1002752345?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Dąbrowa Górnicza
Dąbrowa Górnicza, Silesian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-gdansk,oferta,1002752331?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Gdańsk
Gdańsk, Pomeranian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-gdynia,oferta,1002752330?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Gdynia
Gdynia, Pomeranian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-gliwice,oferta,1002752341?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Gliwice
Gliwice, Silesian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-gorzow-wielkopolski,oferta,1002752346?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Gorzów Wielkopolski
Gorzów Wielkopolski, Lubusz","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-katowice,oferta,1002752340?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Katowice
Katowice, Silesian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-kielce,oferta,1002752348?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Kielce
Kielce, Świętokrzyskie","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-koszalin,oferta,1002752343?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Koszalin
Koszalin, West Pomeranian","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-krakow,oferta,1002752323?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Kraków
Kraków, Lesser Poland","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-legnica,oferta,1002752334?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Legnica
Legnica, Lower Silesia","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-leszno,oferta,1002752347?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Leszno
Leszno, Greater Poland","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-lublin,oferta,1002752326?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Lublin
Lublin, Lublin","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-lodz,oferta,1002752322?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Łódź
Łódź, Łódź","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
Recruit Europe Sp.zo.o.,Software Developer C++ / Linux / Buildroot,"https://www.pracuj.pl/praca/software-developer-c%2b%2b-linux-buildroot-germany,oferta,10087146?s=499ee8a1&searchId=MTY5MTQyOTgxNzYyMC4xMzM4","Munich, Oberkochen, Ulm, Germany
abroad","contract of employment, b2b contract",full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,,,"
The department develops software and systems for observation and surveillance.
Camera systems and other sensors, such as radars, are radars, for example, are
intelligently interconnected and their data processed for the user. The designed,
distributed software architectures support low-end hardware as well as high-
availability, high-end server systems and cover requirements from real-time to
redundancy and automation to intuitive operation and visualisation.
You are a top programmer. C++, CUDA or Python are not foreign words to you.
You are interested in Deep Learning. You like designing software architectures.
Then help us make the world a safer place.
▪ Conception, development and maintenance of a software solution with
customer-specific characteristics
▪ Extension of the innovative, service-oriented software architecture in the
team
▪ Development in C++ under Linux and Windows
▪ Use of modern software technologies (git, Atlassian tools, CMake, C++17/20,
buildroot, MQTT ...)
▪ Further development of an own operating system based on buildroot in
compliance with modern security standards
▪ Collaboration in a motivated and open-minded development team
▪ Planning and implementation of software development using SCRUM
▪ Use of the environment for server-side builds and tests","▪ A completed degree in the field of computer science/engineering or a
comparable qualification
▪ Very good knowledge of C++ / Linux/ Buildroot
▪ Several years of professional experience in the relevant environment
▪ Interest in software architecture or software security
▪ A very high degree of teamwork, organisational skills and independence as
well as enjoyment in systematically solving complex problems
▪ You have a strong mathematical and spatial understanding
▪ Very good English skills (knowledge of German is a plus)",
